julian_day,temperature
2442945,1360.9829 
2442946,1360.9710 
2442947,1360.8941 
2442948,1360.8704 
2442949,1360.9094 
2442950,1360.9573 
2442951,1360.9652 
2442952,1360.9797 
2442953,1360.9546 
2442954,1360.9471 
2442955,1360.9409 
2442956,1360.9324 
2442957,1360.9361 
2442958,1360.9100 
2442959,1360.9106 
2442960,1360.9004 
2442961,1360.9130 
2442962,1360.9395 
2442963,1360.9448 
2442964,1360.9437 
2442965,1360.9499 
2442966,1360.9433 
2442967,1360.9550 
2442968,1360.9586 
2442969,1360.9684 
2442970,1360.9647 
2442971,1360.9647 
2442972,1360.9689 
2442973,1360.9741 
2442974,1360.9840 
2442975,1360.9841 
2442976,1360.9880 
2442977,1360.9781 
2442978,1360.9783 
2442979,1360.9782 
2442980,1360.9802 
2442981,1360.9803 
2442982,1360.9803 
2442983,1360.9848 
2442984,1360.9849 
2442985,1360.9797 
2442986,1360.9797 
2442987,1360.9896 
2442988,1360.9896 
2442989,1360.9896 
2442990,1360.9995 
2442991,1361.0170 
2442992,1361.0074 
2442993,1360.9418 
2442994,1360.8979 
2442995,1360.8508 
2442996,1360.8107 
2442997,1360.7833 
2442998,1360.7891 
2442999,1360.7355 
2443000,1360.8027 
2443001,1360.8004 
2443002,1360.8714 
2443003,1360.9359 
2443004,1360.9784 
2443005,1361.0448 
2443006,1361.0284 
2443007,1361.0265 
2443008,1360.9998 
2443009,1360.9558 
2443010,1360.9963 
2443011,1361.0049 
2443012,1361.0093 
2443013,1360.9828 
2443014,1360.9806 
2443015,1360.9754 
2443016,1360.9969 
2443017,1361.0008 
2443018,1361.0180 
2443019,1361.0204 
2443020,1360.9843 
2443021,1360.9614 
2443022,1360.9214 
2443023,1360.8892 
2443024,1360.8825 
2443025,1360.9042 
2443026,1360.8794 
2443027,1360.9226 
2443028,1360.9253 
2443029,1360.9352 
2443030,1360.9551 
2443031,1360.9851 
2443032,1360.9492 
2443033,1360.8939 
2443034,1360.9450 
2443035,1360.9998 
2443036,1361.0285 
2443037,1361.0424 
2443038,1361.0603 
2443039,1361.0516 
2443040,1361.0506 
2443041,1361.0140 
2443042,1361.0256 
2443043,1361.0157 
2443044,1361.0156 
2443045,1360.9860 
2443046,1360.9925 
2443047,1360.9812 
2443048,1360.9385 
2443049,1360.9190 
2443050,1360.8721 
2443051,1360.8716 
2443052,1360.8559 
2443053,1360.8197 
2443054,1360.8398 
2443055,1360.8143 
2443056,1360.8997 
2443057,1360.9543 
2443058,1360.9748 
2443059,1361.0090 
2443060,1360.9691 
2443061,1360.9789 
2443062,1361.0234 
2443063,1361.0250 
2443064,1360.9976 
2443065,1360.9959 
2443066,1360.9697 
2443067,1360.9395 
2443068,1360.9273 
2443069,1360.9355 
2443070,1360.9416 
2443071,1360.9943 
2443072,1360.9919 
2443073,1361.0125 
2443074,1361.0342 
2443075,1360.9381 
2443076,1360.9133 
2443077,1360.9038 
2443078,1360.8710 
2443079,1360.9000 
2443080,1360.9832 
2443081,1360.9843 
2443082,1360.9791 
2443083,1360.9886 
2443084,1360.9783 
2443085,1360.9764 
2443086,1360.9791 
2443087,1360.9889 
2443088,1360.9890 
2443089,1360.9889 
2443090,1360.9791 
2443091,1360.9791 
2443092,1360.9792 
2443093,1360.9888 
2443094,1360.9890 
2443095,1360.9890 
2443096,1360.9791 
2443097,1360.9790 
2443098,1360.9871 
2443099,1360.9768 
2443100,1361.0017 
2443101,1360.9662 
2443102,1360.9410 
2443103,1360.9098 
2443104,1360.8887 
2443105,1360.8757 
2443106,1360.9010 
2443107,1360.8776 
2443108,1360.9095 
2443109,1360.9153 
2443110,1360.9317 
2443111,1360.9471 
2443112,1360.9586 
2443113,1360.9791 
2443114,1360.9889 
2443115,1360.9891 
2443116,1360.9923 
2443117,1360.9923 
2443118,1360.9823 
2443119,1360.9810 
2443120,1360.9797 
2443121,1360.9518 
2443122,1360.9484 
2443123,1360.9047 
2443124,1360.8912 
2443125,1360.8756 
2443126,1360.9387 
2443127,1360.9199 
2443128,1360.8986 
2443129,1360.9022 
2443130,1360.9049 
2443131,1360.9392 
2443132,1360.9237 
2443133,1360.9098 
2443134,1360.9225 
2443135,1360.9364 
2443136,1360.9625 
2443137,1360.9525 
2443138,1360.9702 
2443139,1360.9331 
2443140,1360.9507 
2443141,1360.9406 
2443142,1360.9588 
2443143,1360.9685 
2443144,1360.9657 
